date,time,network,video,caption,hashtags
2026-09-22,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f105a - Quien presenta Conexion Honduras.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿Quién presenta «Conexión Honduras» en Supervivientes? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #supervivientes #tele"
2026-09-22,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f103a - A quien gano Espana.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿A quién ganó España la final del Mundial 2026? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #futbol #mundial2026"
2026-09-22,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f107a - De que videojuego es.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿De qué videojuego es Freddy Fazbear? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #videojuegos #halloween"
2026-09-22,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f103a EN - Who did Spain beat.mp4,"€65 on the line on Saturday 17 October (€20 pot + leagues). Who did Spain beat in the 2026 World Cup final? Did you know it? Say so in the comments. Top 5 split it. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #football #worldcup2026"
2026-09-22,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f107a EN - Which video game is.mp4,"€65 on the line on Saturday 17 October (€20 pot + leagues). Which video game is Freddy Fazbear from? Did you know it? Say so in the comments. Top 5 split it. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #gaming #halloween"
2026-09-22,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f102aF EN - How many World Cups.mp4,"€65 on the line on Saturday 17 October (€20 pot + leagues). How many World Cups has Spain won? Did you know it? Say so in the comments. Top 5 split it. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #football #worldcup"
2026-09-23,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f102aF - Cuantos Mundiales ha ganado.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿Cuántos Mundiales ha ganado ya España? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #futbol #mundial2026"
2026-09-23,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f108aF - De que pais es.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿De qué país es el Papa León XIV, que visitó España en junio? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #actualidad #papa"
2026-09-23,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f106aF - Que significa farmear aura.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿Qué significa «farmear aura»? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #tiktok #tendencias"
2026-09-23,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f108aF EN - Which country is Pope.mp4,"€65 on the line on Saturday 17 October (€20 pot + leagues). Which country is Pope Leo XIV, who visited Spain in June, from? Did you know it? Say so in the comments. Top 5 split it. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #news #pope"
2026-09-23,19:30,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f106aF EN - What does farming aura.mp4,"€65 on the line on Saturday 17 October (€20 pot + leagues). What does 'farming aura' mean? Did you know it? Say so in the comments. Top 5 split it. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #tiktok #trends"
2026-09-23,23:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab f87a EN - Which planet has the.mp4,"€65 on the line on Saturday 17 October (€20 pot + leagues). Which planet has the most visible rings? Did you know it? Say so in the comments. Top 5 split it. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #space"
2026-09-24,11:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f104aF - El 12 de agosto.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). El 12 de agosto hubo eclipse total de Sol. ¿Desde qué ciudad se vio total? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #eclipse #ciencia"
2026-09-24,14:30,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab f87a - Que planeta tiene los.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿Qué planeta tiene los anillos más visibles? ¿La sabías? Dilo en comentarios. Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #espacio"
2026-09-24,19:00,tiktok;instagram;youtube;x;facebook;threads;bluesky;linkedin,videos/Fab t03 - Cual es el hueso.mp4,"65 € en juego el sábado 17 de octubre (20 € de bote + ligas). ¿Cuál es el hueso más pequeño del cuerpo humano? Y dos más antes: ¿cuántas aciertas de 3? Comenta cuántas has acertado: 0, 1, 2 o 3 👇 Para los 5 mejores. Sábado 17 oct 18:00 · gratis · vibo-azure.vercel.app/app","#vibo #trivia #culturageneral #animales #ciencia"
2026-09-24,15:00,tiktok;instagram;youtube;x;threads;bluesky,videos/Fab t03 EN - What is the smallest.mp4,"€65 on the line on Saturday 17 October (€20 pot + leagues). What is the smallest bone in the human body? Plus two more before it: how many can you get? Comment your score: 0, 1, 2 or 3 👇 Top 5 split it. Saturday 17 Oct 6 PM CET · free · vibo-azure.vercel.app/app","#vibo #trivia #quiz #animals #science"
